container,disk_id,written_label,printed_lable,disk_details,notes
1,01,"Display Writer 3|Kol. #1|'Setup' to copy","","TANDY Double Sided Certified","Kol. may be Vol.? Also this disk has no envelope/sleeve"
1,02,"","","",""
1,03,"","","",""
1,04,"","","",""
1,05,"","","",""
1,06,"","","",""
1,07,"","","",""
1,08,"","","",""
1,09,"","","",""
1,10,"","","",""
1,11,"","","",""
1,12,"","","",""

2,01,"","","",""
2,02,"","","",""
2,03,"","","",""
2,04,"","","",""
2,05,"","","",""
2,06,"","","",""
2,07,"","","",""
2,08,"","","",""
2,09,"","","",""
2,10,"","","",""
